repo_owner,repo_name,pr_number,status,created_at,closed_at,files_changed,additions,deletions,total_lines_changed,body_length,num_reviews,num_comments,num_participants,time_to_close_hours
freeCodeCamp,freeCodeCamp,62845,MERGED,2025-10-15T19:17:06Z,2025-10-15T22:51:53Z,1,232,1,233,761,2,0,3,3.5797222222222222
freeCodeCamp,freeCodeCamp,62844,MERGED,2025-10-15T19:05:15Z,2025-10-15T20:05:48Z,1,1,1,2,663,2,1,3,1.0091666666666668
freeCodeCamp,freeCodeCamp,62839,MERGED,2025-10-15T18:09:20Z,2025-10-15T22:57:43Z,1,147,1,148,761,3,0,4,4.806388888888889
freeCodeCamp,freeCodeCamp,62834,MERGED,2025-10-15T17:21:37Z,2025-10-15T23:02:02Z,1,368,4,372,761,2,0,3,5.673611111111111
freeCodeCamp,freeCodeCamp,62833,MERGED,2025-10-15T17:16:46Z,2025-10-15T22:59:39Z,1,43,16,59,765,2,0,3,5.714722222222222
freeCodeCamp,freeCodeCamp,62831,MERGED,2025-10-15T16:50:13Z,2025-10-15T22:58:22Z,1,583,1,584,761,2,1,3,6.135833333333333
freeCodeCamp,freeCodeCamp,62827,MERGED,2025-10-15T14:03:20Z,2025-10-15T21:56:46Z,1,1,30,31,39,2,1,4,7.890555555555555
freeCodeCamp,freeCodeCamp,62825,MERGED,2025-10-15T12:26:53Z,2025-10-15T16:44:32Z,10,231,91,322,45,2,0,3,4.2941666666666665
freeCodeCamp,freeCodeCamp,62824,MERGED,2025-10-15T11:29:42Z,2025-10-15T14:16:18Z,1,1,1,2,850,2,1,3,2.776666666666667
freeCodeCamp,freeCodeCamp,62822,MERGED,2025-10-14T20:49:36Z,2025-10-15T02:55:39Z,1,15,7,22,1332,2,0,3,6.100833333333333
codecrafters-io,build-your-own-x,1517,CLOSED,2025-07-24T11:30:42Z,2025-07-25T12:16:23Z,1,0,5,5,298,1,3,4,24.761388888888888
